customer_id,signup_date,marketing_spend,visits,purchase_amount,segment,notes
33214727_c0086,2024-09-26,93.98,3,0,Consumer,contacted
33214727_c0087,25/06/2025,273,3,100.24,Consumer,
33214727_c0088,2025-06-21,75.53,7,0,Consumer,
33214727_c0089,2025-07-07,122.04,2,126.05,Consumer,contacted
33214727_c0090,2025-01-19,33.8,2,38.8,Enterprise,
33214727_c0091,,0.73,2,7.93,Consumer,
33214727_c0092,2025-03-01,221.03,9,90.32,Consumer,
33214727_c0093,2025-03-06,247,6,139.98,Enterprise,
33214727_c0094,2025-08-12,48.68,1,0,Consumer,
33214727_c0095,27/09/2024,136.02,5,,Consumer,
33214727_c0096,"Sep 14, 2024",183.61,4,178.01,Consumer,
33214727_c0097,21/09/2024,85.61,1,89.39,SMB,
33214727_c0098,2025-09-13,179.91,11,77.21,SMB,contacted
33214727_c0099,22/12/2025,249.17,9,253.59,Consumer,
33214727_c0100,"Jun 10, 2025",228.39,7,159.14,Consumer,contacted
33214727_c0101,24/06/2025,214.81,11,167.28,SMB,
33214727_c0102,"Dec 26, 2024",282.2,10,156.9,Consumer,returned
33214727_c0103,02/02/2025,120.13,4,126.8,SMB,returned
33214727_c0104,04/09/2025,282.07,2,178.87,Consumer,contacted
33214727_c0105,2025-02-08,85.23,4,96.99,SMB,contacted
33214727_c0106,2025-05-16,241.27,5,95.96,SMB,N/A
33214727_c0107,06/11/2024,101.41,2,97.2,SMB,
33214727_c0108,2025-11-30,254.1,7,179.54,Consumer,contacted
33214727_c0109,2024-11-02,275.5,10,,Enterprise,
33214727_c0110,2025-07-10,48.58,2,57.88,SMB,
33214727_c0111,"Jan 29, 2026",265.23,7,180.59,SMB,
33214727_c0112,2025-09-04,108.59,5,22.26,Consumer,returned
33214727_c0113,2025-02-07,63.76,8,,Consumer,contacted
33214727_c0114,2025-04-11,157.77,11,270.7,Consumer,returned
33214727_c0115,2024-11-20,88.58,6,17.4,Consumer,
33214727_c0116,"Nov 27, 2024",163.78,5,59.22,Consumer,
33214727_c0117,2025-11-25,211.99,5,,Enterprise,contacted
33214727_c0118,2024-11-07,259.59,3,130.66,Consumer,
33214727_c0119,2025-04-10,98.12,5,60.11,Consumer,contacted
33214727_c0120,2024-12-18,83.31,4,87.24,Consumer,contacted
33214727_c0121,2025-12-15,81.35,4,0.06,Enterprise,
33214727_c0122,,226.6,2,157.97,Consumer,
33214727_c0123,2024-11-12,129.91,8,117.43,Consumer,
33214727_c0124,"Feb 11, 2025",17.82,3,47.46,Consumer,
33214727_c0125,2025-02-15,120.83,4,0,SMB,
33214727_c0126,2025-08-18,56.1,3,0,SMB,
33214727_c0127,2025-03-25,49.74,3,91.73,Consumer,
33214727_c0128,2025-11-17,120.13,8,18.33,Consumer,N/A
33214727_c0129,2025-08-03,40.39,6,133.8,SMB,
33214727_c0130,2025-08-26,112.17,3,88.49,Consumer,
33214727_c0131,"Jan 19, 2025",82.91,5,92.54,SMB,
33214727_c0132,2025-11-29,123.63,7,48.59,Enterprise,
33214727_c0133,2026-01-13,15.16,2,,Consumer,no response
33214727_c0134,N/A,36.2,5,42.66,SMB,
33214727_c0135,2025-04-21,76.67,4,62.7,Consumer,N/A
33214727_c0136,"Sep 17, 2025",94.28,6,115.62,SMB,
33214727_c0137,28/01/2025,93.27,2,0,Consumer,
33214727_c0138,"Oct 24, 2024",161.01,9,143.22,Consumer,
33214727_c0139,2025-01-07,43.9,1,26.1,Consumer,
33214727_c0140,2025-08-11,260.26,6,132.74,Enterprise,returned
33214727_c0141,N/A,96,1,39.44,Consumer,
33214727_c0142,2025-05-23,84.17,4,51.44,Enterprise,
33214727_c0143,05/09/2025,24.23,2,,SMB,contacted
33214727_c0144,2026-01-06,91.07,4,90.64,Consumer,
33214727_c0145,2025-03-06,155.53,4,115.1,Consumer,
33214727_c0146,,170.87,4,146.97,Consumer,
33214727_c0147,"Mar 01, 2025",17.95,2,,Consumer,
33214727_c0148,2024-11-23,93.63,9,48.17,Consumer,
33214727_c0149,2024-11-13,98.08,3,44.52,Consumer,N/A
33214727_c0150,"Jul 09, 2025",205.19,5,107.44,Consumer,
